Cource Code,Name,Certificate Name,Name
REACT-JS-5762,Obie McDermott,React JS,Obie McDermott
REACT-JS-0647,Francisco Gerhold,React JS,Francisco Gerhold
KOTLIN-2537,Meda Metz,Kotlin,Meda Metz
TYPESCRIPT-0316,Erwin Okuneva,TypeScript,Erwin Okuneva
LARAVEL-9526,Dr. Federico Fadel,Laravel,Dr. Federico Fadel
KOTLIN-0759,Miss Brandy Klocko III,Kotlin,Miss Brandy Klocko III
RUST-3949,Mrs. Zola Cruickshank I,Rust,Mrs. Zola Cruickshank I
LARAVEL-2629,Dr. Verner Harvey,Laravel,Dr. Verner Harvey
RUST-0960,Jennyfer Kulas,Rust,Jennyfer Kulas
RUST-6389,Dr. Ruthe Beahan DVM,Rust,Dr. Ruthe Beahan DVM
VUE-JS-9196,Blanche Koepp,Vue JS,Blanche Koepp
DJANGO-8756,Barrett Keebler,Django,Barrett Keebler
DJANGO-0123,Karlee King,Django,Karlee King
LARAVEL-7675,Prof. Freddy Cummerata DVM,Laravel,Prof. Freddy Cummerata DVM
KOTLIN-5644,Donavon Luettgen,Kotlin,Donavon Luettgen
NODE-JS-3732,Ora Rohan,Node JS,Ora Rohan
SWIFT-3330,Prof. Bobby Schaefer I,Swift,Prof. Bobby Schaefer I
ANGULAR-5284,Lysanne Heidenreich,Angular,Lysanne Heidenreich
LARAVEL-6164,Aubrey Grady,Laravel,Aubrey Grady
NODE-JS-1893,Mr. Sage Doyle II,Node JS,Mr. Sage Doyle II
GO-8330,Ida Ferry,Go,Ida Ferry
RUST-1347,Prof. Orlando Lemke,Rust,Prof. Orlando Lemke
TYPESCRIPT-6945,Claudie Kling,TypeScript,Claudie Kling
SWIFT-7368,Dario Rolfson I,Swift,Dario Rolfson I
GO-8738,Bud Hermann Jr.,Go,Bud Hermann Jr.
REACT-JS-2937,Kristin Lehner,React JS,Kristin Lehner
KOTLIN-3875,Lawson Torphy,Kotlin,Lawson Torphy
VUE-JS-1439,Dr. Marguerite McClure,Vue JS,Dr. Marguerite McClure
PYTHON-6325,Kendrick Towne,Python,Kendrick Towne
SWIFT-0158,Sierra Hahn,Swift,Sierra Hahn
NODE-JS-8470,Odell Witting I,Node JS,Odell Witting I
NODE-JS-1810,Marcos Legros IV,Node JS,Marcos Legros IV
REACT-JS-4601,Dr. Jermey Mayert PhD,React JS,Dr. Jermey Mayert PhD
ANGULAR-2728,Wilton Walsh,Angular,Wilton Walsh
NODE-JS-4794,Jayde Veum,Node JS,Jayde Veum
RUST-0780,Birdie Steuber,Rust,Birdie Steuber
DJANGO-4971,Prof. Cortez Hodkiewicz III,Django,Prof. Cortez Hodkiewicz III
KOTLIN-8081,Mrs. Tia Bailey,Kotlin,Mrs. Tia Bailey
REACT-JS-4016,Lester Feeney,React JS,Lester Feeney
KOTLIN-4921,Dr. Laurel Hahn PhD,Kotlin,Dr. Laurel Hahn PhD
ANGULAR-6185,Eino Krajcik DDS,Angular,Eino Krajcik DDS
KOTLIN-0551,Amari Green Sr.,Kotlin,Amari Green Sr.
ANGULAR-6654,Elda Dietrich,Angular,Elda Dietrich
ANGULAR-9304,Scotty Reynolds,Angular,Scotty Reynolds
LARAVEL-4414,Danielle Stanton,Laravel,Danielle Stanton
GO-0743,Asa Wehner,Go,Asa Wehner
NODE-JS-6240,Clementine Wunsch III,Node JS,Clementine Wunsch III
REACT-JS-2811,Gussie Veum,React JS,Gussie Veum
RUST-6453,Tatum Emard,Rust,Tatum Emard
SWIFT-5458,Jeramie Christiansen,Swift,Jeramie Christiansen
SWIFT-7604,Kobe Sanford,Swift,Kobe Sanford
SWIFT-6096,Eveline Larkin,Swift,Eveline Larkin
GO-9046,Agustina Miller,Go,Agustina Miller
FLUTTER-3077,Christopher Pacocha,Flutter,Christopher Pacocha
GO-4670,Felicita Okuneva,Go,Felicita Okuneva
REACT-JS-9061,Mrs. Janae Dibbert,React JS,Mrs. Janae Dibbert
VUE-JS-5828,Harvey Bauch,Vue JS,Harvey Bauch
ANGULAR-2304,Zoie Konopelski,Angular,Zoie Konopelski
PYTHON-7753,Josiane Pollich,Python,Josiane Pollich
TYPESCRIPT-1480,Myron Turcotte V,TypeScript,Myron Turcotte V
PYTHON-5604,Dr. Taya Marvin,Python,Dr. Taya Marvin
TYPESCRIPT-0281,Mustafa Kuphal,TypeScript,Mustafa Kuphal
GO-1860,Miss Lolita Steuber,Go,Miss Lolita Steuber
DJANGO-5854,Delbert Yundt DDS,Django,Delbert Yundt DDS
GO-9040,Lilyan Lowe,Go,Lilyan Lowe
RUST-5541,Emory Murray,Rust,Emory Murray
SWIFT-9899,Sven Robel,Swift,Sven Robel
REACT-JS-6413,John Wehner I,React JS,John Wehner I
TYPESCRIPT-2460,Gayle Anderson,TypeScript,Gayle Anderson
PYTHON-3786,Braden Hermann,Python,Braden Hermann
PYTHON-7276,Mrs. Aida Ratke,Python,Mrs. Aida Ratke
LARAVEL-6306,Murl Simonis MD,Laravel,Murl Simonis MD
SWIFT-4784,Ms. Kaya McLaughlin V,Swift,Ms. Kaya McLaughlin V
RUST-2259,Reese Kautzer,Rust,Reese Kautzer
ANGULAR-4533,Mr. Hoyt Monahan,Angular,Mr. Hoyt Monahan
VUE-JS-5415,Reymundo Heaney,Vue JS,Reymundo Heaney
ANGULAR-4166,Kasandra Hauck,Angular,Kasandra Hauck
FLUTTER-1908,Margot Schoen,Flutter,Margot Schoen
PYTHON-1974,Prof. Miller Grady DDS,Python,Prof. Miller Grady DDS
GO-1072,Albert Hagenes,Go,Albert Hagenes
DJANGO-2119,Torrey Romaguera,Django,Torrey Romaguera
KOTLIN-4768,Dr. Darrell Willms PhD,Kotlin,Dr. Darrell Willms PhD
PYTHON-0913,Miss Kallie Buckridge DDS,Python,Miss Kallie Buckridge DDS
DJANGO-2551,Arvilla Jones,Django,Arvilla Jones
ANGULAR-7012,Ms. Shanna Johns,Angular,Ms. Shanna Johns
RUST-7587,Margot Purdy,Rust,Margot Purdy
GO-5508,Coralie Ullrich,Go,Coralie Ullrich
NODE-JS-2407,Dr. Lester Wolf,Node JS,Dr. Lester Wolf
TYPESCRIPT-5291,Manuela Lakin,TypeScript,Manuela Lakin
NODE-JS-7314,Prof. Annamarie Welch DVM,Node JS,Prof. Annamarie Welch DVM
SWIFT-6648,Zachariah Funk,Swift,Zachariah Funk
PYTHON-5311,Dorothy Abshire,Python,Dorothy Abshire
VUE-JS-9699,Daphnee Hamill,Vue JS,Daphnee Hamill
REACT-JS-1647,Frederic Botsford,React JS,Frederic Botsford
RUST-9349,Janice Ortiz PhD,Rust,Janice Ortiz PhD
TYPESCRIPT-9481,Summer Bednar,TypeScript,Summer Bednar
GO-8668,Devon Crist,Go,Devon Crist
ANGULAR-6301,Dr. Helene Walter,Angular,Dr. Helene Walter
VUE-JS-2410,Angie Gislason,Vue JS,Angie Gislason
NODE-JS-3468,Alexanne Schuppe,Node JS,Alexanne Schuppe
